zerothird_unique_run_data_row,run_timestamp_utc,run_timestamp_local,record_id,alice_file,filename_kind,curated_window,curated_mode,rows,qkd_rows,chsh_rows,alice_results_csv,alice_results_data_rows,alice_results_line_numbers,first_alice_results_line_number,last_alice_results_line_number,good_results_combined_csv,good_results_combined_data_rows,zerothird_results_csv,zerothird_results_data_rows,first_zerothird_results_data_row,last_zerothird_results_data_row
4184,2026-07-11T01:10:21.323517+00:00,2026-07-11T03:10:21.323517+02:00,CHSH_S_step0433,alice_CHSH_S_step0433_20260711T011021.323517Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37219,37220,37220,37220,Data/GoodResults/alice_results_good_since_20260628.csv,22083,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6742,6742,6742
4185,2026-07-11T01:10:35.297904+00:00,2026-07-11T03:10:35.297904+02:00,CHSH_S_step0434,alice_CHSH_S_step0434_20260711T011035.297904Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37220,37221,37221,37221,Data/GoodResults/alice_results_good_since_20260628.csv,22084,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6743,6743,6743
4186,2026-07-11T01:10:49.205589+00:00,2026-07-11T03:10:49.205589+02:00,CHSH_S_step0435,alice_CHSH_S_step0435_20260711T011049.205589Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37221,37222,37222,37222,Data/GoodResults/alice_results_good_since_20260628.csv,22085,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6744,6744,6744
4187,2026-07-11T01:11:03.305640+00:00,2026-07-11T03:11:03.305640+02:00,CHSH_S_step0436,alice_CHSH_S_step0436_20260711T011103.305640Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37222,37223,37223,37223,Data/GoodResults/alice_results_good_since_20260628.csv,22086,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6745,6745,6745
4188,2026-07-11T01:11:17.252015+00:00,2026-07-11T03:11:17.252015+02:00,CHSH_S_step0437,alice_CHSH_S_step0437_20260711T011117.252015Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37223,37224,37224,37224,Data/GoodResults/alice_results_good_since_20260628.csv,22087,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6746,6746,6746
4189,2026-07-11T01:11:31.151447+00:00,2026-07-11T03:11:31.151447+02:00,CHSH_S_step0438,alice_CHSH_S_step0438_20260711T011131.151447Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37224,37225,37225,37225,Data/GoodResults/alice_results_good_since_20260628.csv,22088,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6747,6747,6747
4190,2026-07-11T01:11:44.968065+00:00,2026-07-11T03:11:44.968065+02:00,CHSH_S_step0439,alice_CHSH_S_step0439_20260711T011144.968065Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37225,37226,37226,37226,Data/GoodResults/alice_results_good_since_20260628.csv,22089,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6748,6748,6748
4191,2026-07-11T01:11:58.964673+00:00,2026-07-11T03:11:58.964673+02:00,CHSH_S_step0440,alice_CHSH_S_step0440_20260711T011158.964673Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37226,37227,37227,37227,Data/GoodResults/alice_results_good_since_20260628.csv,22090,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6749,6749,6749
4192,2026-07-11T01:12:12.943437+00:00,2026-07-11T03:12:12.943437+02:00,CHSH_S_step0441,alice_CHSH_S_step0441_20260711T011212.943437Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37227,37228,37228,37228,Data/GoodResults/alice_results_good_since_20260628.csv,22091,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6750,6750,6750
4193,2026-07-11T01:12:26.770870+00:00,2026-07-11T03:12:26.770870+02:00,CHSH_S_step0442,alice_CHSH_S_step0442_20260711T011226.770870Z_exp_5.0s.bin,CHSH_S filename,"160 ps, 1 sigma",optimize,1,0,1,Data/alice_results.csv,37228,37229,37229,37229,Data/GoodResults/alice_results_good_since_20260628.csv,22092,Data/GoodResults/alice_results_good_ZeroThird_since_20260709.csv,6751,6751,6751
