timestamp,S_value,S_err,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA
1762553687.446838,2.69215,0.07136,0.72257,-0.68539,0.66514,0.61905,271,49,18,145,48,259,116,22,225,42,31,138,205,60,12,101
1762553695.7249722,2.66663,0.0703,0.63715,-0.71946,0.72786,0.58216,259,72,12,120,40,264,116,22,256,38,25,144,202,79,10,135
1762553704.0023215,2.64715,0.06879,0.68248,-0.73523,0.63319,0.59624,322,66,21,139,45,307,119,20,228,52,32,146,208,71,15,132
1762553712.2835069,2.80916,0.06742,0.66457,-0.74009,0.71138,0.69312,258,66,14,139,44,283,112,15,258,42,29,163,198,48,10,122
1762553720.5737178,2.75929,0.06798,0.67123,-0.74292,0.68928,0.65586,302,71,13,125,41,289,111,18,224,40,31,162,215,56,13,117
1762553728.8659077,2.83716,0.06687,0.6531,-0.78523,0.6971,0.70171,252,59,22,134,35,271,128,13,236,32,36,145,198,44,17,150
1762553737.1617181,2.77123,0.06834,0.65546,-0.72889,0.72185,0.66502,267,66,16,127,40,295,94,21,252,31,32,138,205,59,9,133
1762553745.452089,2.73637,0.06681,0.64961,-0.69014,0.71861,0.678,277,67,22,142,49,300,120,28,239,32,33,158,220,63,8,150
1762553753.746794,2.69815,0.06889,0.67821,-0.70549,0.68778,0.62667,275,63,16,137,43,286,102,24,222,41,28,151,216,72,12,150
1762553762.0415478,2.70143,0.06854,0.68297,-0.76,0.63514,0.62332,296,64,17,134,41,285,111,13,239,51,30,124,228,74,10,134
1762553770.3382695,2.74287,0.06819,0.668,-0.74336,0.6696,0.6619,271,66,17,146,47,289,105,11,250,39,36,129,211,59,12,138
1762553778.6461246,2.85,0.06467,0.64301,-0.79654,0.74043,0.70115,255,62,21,127,34,301,114,13,259,31,30,150,223,55,10,147
1762553786.9654999,2.74705,0.06861,0.65293,-0.7463,0.70306,0.64477,254,61,19,127,33,293,120,27,240,33,35,150,217,67,6,121
1762553795.2601156,2.71416,0.0695,0.61074,-0.73423,0.71818,0.65101,241,61,26,119,41,276,109,18,243,41,21,135,223,68,10,146
1762553803.5596812,2.68811,0.07027,0.65932,-0.70089,0.68468,0.64322,283,68,17,131,45,273,108,22,241,44,26,133,178,58,13,149
