timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA,total_coinc
1762168811.1946802,2.10934,0.22819,0.78988,-0.89683,0.19444,67,57,58,116,102,11,16,128,5,128,111,8,61,61,26,68,"dict_values([67, 57, 58, 116, 102, 11, 16, 128, 5, 128, 111, 8, 61, 61, 26, 68])"
1762168814.0070956,2.17529,0.25234,0.74194,-0.90909,0.27193,82,59,61,119,118,14,22,125,3,121,110,8,66,56,27,79,"dict_values([82, 59, 61, 119, 118, 14, 22, 125, 3, 121, 110, 8, 66, 56, 27, 79])"
1762168816.8173919,2.18315,0.35273,0.68266,-0.88417,0.2636,74,45,44,112,94,18,25,134,2,145,99,13,83,60,28,68,"dict_values([74, 45, 44, 112, 94, 18, 25, 134, 2, 145, 99, 13, 83, 60, 28, 68])"
1762168819.6935673,2.1219,0.2669,0.71311,-0.95604,0.18584,77,63,40,101,90,13,22,119,2,129,138,4,58,62,30,76,"dict_values([77, 63, 40, 101, 90, 13, 22, 119, 2, 129, 138, 4, 58, 62, 30, 76])"
1762168822.559964,2.09699,0.26241,0.76712,-0.85816,0.2093,67,50,54,111,116,21,13,142,12,146,116,8,70,66,19,60,"dict_values([67, 50, 54, 111, 116, 21, 13, 142, 12, 146, 116, 8, 70, 66, 19, 60])"
1762168825.3727918,2.14661,0.35417,0.70149,-0.88186,0.20909,78,51,42,117,100,21,19,128,5,114,109,9,61,61,26,72,"dict_values([78, 51, 42, 117, 100, 21, 19, 128, 5, 114, 109, 9, 61, 61, 26, 72])"
1762168828.1964734,2.20594,0.29151,0.78113,-0.94553,0.18777,68,48,48,107,100,9,20,136,2,149,101,5,67,66,27,69,"dict_values([68, 48, 48, 107, 100, 9, 20, 136, 2, 149, 101, 5, 67, 66, 27, 69])"
1762168830.973981,2.202,0.28777,0.73494,-0.94776,0.23153,61,57,42,118,87,13,20,129,2,132,129,5,72,49,29,53,"dict_values([61, 57, 42, 118, 87, 13, 20, 129, 2, 132, 129, 5, 72, 49, 29, 53])"
1762168833.798046,2.2849,0.29104,0.69721,-0.88664,0.41,63,51,44,110,111,19,19,102,6,126,107,8,74,41,18,67,"dict_values([63, 51, 44, 110, 111, 19, 19, 102, 6, 126, 107, 8, 74, 41, 18, 67])"
1762168836.6381052,2.24357,0.37324,0.70992,-0.9187,0.24171,72,38,51,123,95,16,22,129,5,114,122,5,61,62,18,70,"dict_values([72, 38, 51, 123, 95, 16, 22, 129, 5, 114, 122, 5, 61, 62, 18, 70])"
1762168839.43973,2.19938,0.33562,0.73228,-0.9,0.23148,73,47,50,122,93,14,20,127,4,132,115,9,60,55,28,73,"dict_values([73, 47, 50, 122, 93, 14, 20, 127, 4, 132, 115, 9, 60, 55, 28, 73])"
1762168842.3168266,2.18106,0.21649,0.81343,-0.91031,0.24082,66,65,49,111,117,13,12,126,2,112,101,8,71,62,31,81,"dict_values([66, 65, 49, 111, 117, 13, 12, 126, 2, 112, 101, 8, 71, 62, 31, 81])"
1762168845.1722143,2.1774,0.42773,0.70107,-0.84861,0.2,92,47,50,150,111,18,24,128,7,124,108,12,58,59,23,65,"dict_values([92, 47, 50, 150, 111, 18, 24, 128, 7, 124, 108, 12, 58, 59, 23, 65])"
