timestamp,S_value,E_ab,E_abp,E_apb,E_apbp,C_HH,C_HV,C_VH,C_VV,C_HD,C_HA,C_VD,C_VA,C_DH,C_DV,C_AH,C_AV,C_DD,C_DA,C_AD,C_AA,total_coinc
1762168541.7137544,1.0825,0.85612,0.46094,-0.19685,0.88417,104,3,17,154,88,39,30,99,34,87,65,68,120,8,7,124,"dict_values([104, 3, 17, 154, 88, 39, 30, 99, 34, 87, 65, 68, 120, 8, 7, 124])"
1762168544.5953896,1.09316,0.86532,0.48772,-0.10345,0.819,114,0,20,163,78,38,35,134,42,80,64,75,98,8,12,103,"dict_values([114, 0, 20, 163, 78, 38, 35, 134, 42, 80, 64, 75, 98, 8, 12, 103])"
1762168547.5022545,1.06274,0.80919,0.34948,-0.2,0.80303,114,4,23,142,86,63,31,109,52,90,87,66,100,16,10,138,"dict_values([114, 4, 23, 142, 86, 63, 31, 109, 52, 90, 87, 66, 100, 16, 10, 138])"
1762168550.370385,0.92251,0.81879,0.5,-0.12644,0.73016,127,1,26,144,88,46,19,107,38,73,74,76,89,22,12,129,"dict_values([127, 1, 26, 144, 88, 46, 19, 107, 38, 73, 74, 76, 89, 22, 12, 129])"
1762168553.1853092,0.95844,0.82946,0.50336,-0.14815,0.78049,93,1,21,143,83,41,33,141,50,77,78,65,89,17,10,130,"dict_values([93, 1, 21, 143, 83, 41, 33, 141, 50, 77, 78, 65, 89, 17, 10, 130])"
1762168556.0189102,1.09788,0.91603,0.48529,-0.10098,0.76812,110,0,11,141,89,28,42,113,53,75,94,85,71,9,15,112,"dict_values([110, 0, 11, 141, 89, 28, 42, 113, 53, 75, 94, 85, 71, 9, 15, 112])"
1762168558.852774,0.90324,0.87279,0.4841,-0.25397,0.76852,114,1,17,151,97,44,29,113,32,80,78,62,84,13,12,107,"dict_values([114, 1, 17, 151, 97, 44, 29, 113, 32, 80, 78, 62, 84, 13, 12, 107])"
1762168561.7085958,0.93878,0.82772,0.59848,-0.18876,0.89831,116,4,19,128,86,28,25,125,32,83,65,69,109,8,4,115,"dict_values([116, 4, 19, 128, 86, 28, 25, 125, 32, 83, 65, 69, 109, 8, 4, 115])"
1762168564.5471961,0.901,0.81667,0.48413,-0.21667,0.78512,98,1,21,120,71,37,28,116,30,67,79,64,90,14,12,126,"dict_values([98, 1, 21, 120, 71, 37, 28, 116, 30, 67, 79, 64, 90, 14, 12, 126])"
1762168567.4126244,1.08044,0.84615,0.51515,-0.12782,0.87726,111,2,19,141,88,46,26,137,39,68,82,77,111,8,9,149,"dict_values([111, 2, 19, 141, 88, 46, 26, 137, 39, 68, 82, 77, 111, 8, 9, 149])"
1762168570.2818038,1.14894,0.85663,0.39929,-0.14173,0.83333,112,1,19,147,83,50,35,115,44,74,71,65,96,11,9,124,"dict_values([112, 1, 19, 147, 83, 50, 35, 115, 44, 74, 71, 65, 96, 11, 9, 124])"
1762168573.1416125,1.10268,0.90614,0.48819,-0.13008,0.81481,121,1,12,143,90,33,32,99,40,76,63,67,77,11,9,119,"dict_values([121, 1, 12, 143, 90, 33, 32, 99, 40, 76, 63, 67, 77, 11, 9, 119])"
1762168575.9615407,1.06117,0.90588,0.44531,-0.26199,0.8626,107,1,11,136,81,41,30,104,39,93,78,61,104,11,7,140,"dict_values([107, 1, 11, 136, 81, 41, 30, 104, 39, 93, 78, 61, 104, 11, 7, 140])"
1762168578.8495517,0.81373,0.81323,0.55263,-0.14056,0.69369,112,2,22,121,106,36,32,130,31,78,64,76,72,13,21,116,"dict_values([112, 2, 22, 121, 106, 36, 32, 130, 31, 78, 64, 76, 72, 13, 21, 116])"
1762168581.6880832,0.92236,0.88285,0.47985,-0.30104,0.82041,104,1,13,121,88,33,38,114,42,98,90,59,93,8,14,130,"dict_values([104, 1, 13, 121, 88, 33, 38, 114, 42, 98, 90, 59, 93, 8, 14, 130])"
1762168584.5682364,0.93412,0.80545,0.5249,-0.17021,0.82379,86,1,24,146,87,31,31,112,43,83,82,74,83,9,11,124,"dict_values([86, 1, 24, 146, 87, 31, 31, 112, 43, 83, 82, 74, 83, 9, 11, 124])"
1762168587.399559,1.04373,0.80741,0.35507,-0.21457,0.80597,88,2,24,156,79,45,44,108,36,81,69,61,111,14,12,131,"dict_values([88, 2, 24, 156, 79, 45, 44, 108, 36, 81, 69, 61, 111, 14, 12, 131])"
1762168590.2359567,1.05609,0.86429,0.48123,-0.16031,0.83333,126,1,18,135,98,38,38,119,41,96,56,69,83,8,10,115,"dict_values([126, 1, 18, 135, 98, 38, 38, 119, 41, 96, 56, 69, 83, 8, 10, 115])"
1762168593.0593505,1.14199,0.89394,0.42975,-0.13469,0.8125,114,0,14,136,70,50,19,103,36,63,76,70,111,13,8,92,"dict_values([114, 0, 14, 136, 70, 50, 19, 103, 36, 63, 76, 70, 111, 13, 8, 92])"
