timestamp,alice_file,bob_file,overlap_duration_sec,sync_common_markers,sync_first_counter,sync_last_counter,sync_skew_ppm_mean,sync_skew_ppm_std,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,contrast_HV,contrast_DA,total_contrast,total_coincidences,optimization_score,C_HH,accidental_HH,delay_HH_ps,alice_events_HH,bob_events_HH,C_HV,accidental_HV,delay_HV_ps,alice_events_HV,bob_events_HV,C_VH,accidental_VH,delay_VH_ps,alice_events_VH,bob_events_VH,C_VV,accidental_VV,delay_VV_ps,alice_events_VV,bob_events_VV,C_DD,accidental_DD,delay_DD_ps,alice_events_DD,bob_events_DD,C_DA,accidental_DA,delay_DA_ps,alice_events_DA,bob_events_DA,C_AD,accidental_AD,delay_AD_ps,alice_events_AD,bob_events_AD,C_AA,accidental_AA,delay_AA_ps,alice_events_AA,bob_events_AA
1781997363.7761285,alice_20260620T231538.390293Z_exp_10.0s.bin,bob_20260620T231538.390293Z_exp_10.0s.bin,10.033150264732,9799,224584685,224594483,0.07624664911860257,0.043347173791956954,0.20126259173161948,0.5339805825242718,-0.13145539906103287,0.3993687041341903,0.23300970873786409,0.5657276995305165,3.291666666639236,0.767634854768599,1.606648199441533,941,0.20126259173161948,296,49.808228747568606,36000.0,507501,656463,47,50.838440853863226,36000.0,507501,670041,73,31.217478947960945,35299.99923706055,318078,656463,99,31.863167934477186,35299.99923706055,318078,670041,101,34.7587393819737,39099.998474121094,332096,700078,131,34.89890079438104,39099.998474121094,332096,702901,110,32.761631599442616,38799.99923706055,313015,700078,84,32.89373985881547,38799.99923706055,313015,702901
1781997390.266184,alice_20260620T231605.144222Z_exp_10.0s.bin,bob_20260620T231605.144222Z_exp_10.0s.bin,10.013694246832,9780,224610817,224620596,0.0768687434210496,0.04318351548333643,0.24001933026323272,0.5210643015521065,-0.041025641025641026,0.37999033486838363,0.23946784922394676,0.5205128205128206,3.175925925896519,0.9211822660053144,1.7041800643032021,841,0.24001933026323272,251,41.831169754511045,36000.0,433737,643838,53,43.1181267382513,36000.0,433737,663646,55,24.70683210457232,35299.99923706055,256179,643838,92,25.46695022485626,35299.99923706055,256179,663646,85,33.79346831061451,39099.998474121094,327469,688915,113,34.28301900081567,39099.998474121094,327469,698895,90,32.2422270766499,38799.99923706055,312437,688915,102,32.709305636740716,38799.99923706055,312437,698895
1781997416.8521144,alice_20260620T231631.650765Z_exp_10.0s.bin,bob_20260620T231631.650765Z_exp_10.0s.bin,10.034174195168,9800,224636696,224646495,0.0689936283986065,0.04261934007116101,0.23833063050741485,0.5632754342431762,-0.08661417322834646,0.38083468474629256,0.21836228287841192,0.5433070866141733,3.579545454504778,0.8405797101408669,1.6576271186384488,784,0.23833063050741485,234,39.2739004092406,36000.0,409990,640798,50,40.721670339026716,36000.0,409990,664420,38,22.631514463976067,35299.99923706055,236256,640798,81,23.465789281731496,35299.99923706055,236256,664420,81,33.788145767617266,39099.998474121094,328682,687668,103,34.37215709371343,39099.998474121094,328682,699554,104,32.404267069289816,38799.99923706055,315220,687668,93,32.96435873908625,38799.99923706055,315220,699554
1781997443.6120346,alice_20260620T231658.281171Z_exp_10.0s.bin,bob_20260620T231658.281171Z_exp_10.0s.bin,10.012670193312,9779,224662712,224672490,0.07251882583290455,0.04340669136456215,0.24858615739330928,0.4696132596685083,0.027559055118110236,0.3757069213033454,0.26519337016574585,0.4862204724409449,2.7708333333044703,1.0566801619390418,1.5364431486835672,870,0.24858615739330928,175,35.28062378464806,36000.0,369165,637932,71,36.983178293922386,36000.0,369165,668717,25,18.002756234835584,35299.99923706055,188375,637932,91,18.871524145348637,35299.99923706055,188375,668717,134,38.64560174332536,39099.998474121094,378438,681654,140,40.02621081134734,39099.998474121094,378438,706006,107,37.41027166471537,38799.99923706055,366341,681654,127,38.74674872724144,38799.99923706055,366341,706006
1781997470.1689658,alice_20260620T231725.026375Z_exp_10.0s.bin,bob_20260620T231725.026375Z_exp_10.0s.bin,10.013694202538,9780,224688825,224698604,0.07209667764983002,0.04243714184406521,0.24908963585434174,0.5619047619047619,-0.06372549019607843,0.37545518207282913,0.21904761904761905,0.5318627450980392,3.565217391265595,0.8801843317931789,1.6796116504800014,828,0.24908963585434174,231,38.21892427486954,36000.0,399421,638779,50,39.62088932633295,36000.0,399421,662211,42,21.830240469805325,35299.99923706055,228145,638779,97,22.63102790127768,35299.99923706055,228145,662211,89,33.51504576751893,39099.998474121094,327000,684219,109,34.17352318520648,39099.998474121094,327000,697662,108,32.33986682326702,38799.99923706055,315534,684219,102,32.975255243794926,38799.99923706055,315534,697662
1781997496.9754288,alice_20260620T231751.590212Z_exp_10.0s.bin,bob_20260620T231751.590212Z_exp_10.0s.bin,10.033150186325,9799,224714763,224724561,0.06645849627426628,0.041950733079918,0.21592201666053323,0.5387323943661971,-0.10688836104513064,0.3920389916697333,0.23063380281690143,0.5534441805225653,3.3358778625699554,0.8068669527862367,1.71703296702825,989,0.21592201666053323,317,47.271915802470836,36000.0,484071,653191,57,48.320929673691985,36000.0,484071,667686,74,29.303019513872997,35299.99923706055,300067,653191,120,29.95328454791907,35299.99923706055,300067,667686,105,34.06127783966475,39099.998474121094,326777,697197,109,34.23168267087422,39099.998474121094,326777,700685,124,32.0311119819601,38799.99923706055,307300,697197,83,32.19136011640858,38799.99923706055,307300,700685
1781997523.779013,alice_20260620T231818.367040Z_exp_10.0s.bin,bob_20260620T231818.367040Z_exp_10.0s.bin,10.014718166166,9781,224740915,224750695,0.06617271479336231,0.04251401783904646,0.1982905982905983,0.5555555555555556,-0.15897435897435896,0.4008547008547008,0.2222222222222222,0.5794871794871794,3.499999999966981,0.7256637168109484,1.6114457831276765,867,0.1982905982905983,267,40.759894290292685,36000.0,423550,642504,47,42.06407590911504,36000.0,423550,663062,59,23.838114542907334,35299.99923706055,247710,642504,104,24.60085525545245,35299.99923706055,247710,663062,73,33.55023754284356,39099.998474121094,325581,687993,111,34.049546230869716,39099.998474121094,325581,698232,115,32.126433229540666,38799.99923706055,311764,687993,91,32.60455226539898,38799.99923706055,311764,698232
1781997550.4825625,alice_20260620T231845.170806Z_exp_10.0s.bin,bob_20260620T231845.170806Z_exp_10.0s.bin,10.032126181122,9798,224767089,224776886,0.06513335929322119,0.04218432494958171,0.18567650756491957,0.44206008583690987,-0.0707070707070707,0.4071617462175402,0.27896995708154504,0.5353535353535354,2.5846153846021305,0.8679245282977929,1.690417690413537,1095,0.18567650756491957,359,61.943115550356815,36000.0,616117,672406,75,62.35600455476293,36000.0,616117,676888,120,41.007905456686466,35299.99923706055,407885,672406,145,41.28124839570972,35299.99923706055,407885,676888,106,37.20378754867867,39099.998474121094,348756,713456,101,36.970486902958704,39099.998474121094,348756,708982,111,34.17505130878004,38799.99923706055,320364,713456,78,33.96074351747199,38799.99923706055,320364,708982
1781997577.0651636,alice_20260620T231911.923050Z_exp_10.0s.bin,bob_20260620T231911.923050Z_exp_10.0s.bin,10.014718203047,9781,224793220,224803000,0.06773371757891593,0.04330306468505547,0.21782178217821785,0.5247524752475248,-0.0891089108910891,0.3910891089108911,0.2376237623762376,0.5445544554455446,3.208333333299913,0.8363636363598348,1.5569620253115286,808,0.21782178217821785,221,38.742097458364114,36000.0,404311,639757,43,40.052017178073115,36000.0,404311,661388,53,21.78946531122638,35299.99923706055,227394,639757,87,22.526194919729512,35299.99923706055,227394,661388,82,33.60995056731507,39099.998474121094,327500,685179,115,34.23870939730233,39099.998474121094,327500,697997,105,32.51821727224606,38799.99923706055,316862,685179,102,33.12655247953591,38799.99923706055,316862,697997
1781997603.7083857,alice_20260620T231938.537526Z_exp_10.0s.bin,bob_20260620T231938.537526Z_exp_10.0s.bin,10.01369423911,9780,224819217,224828996,0.07150099432590169,0.042788128194971575,0.28531959378733573,0.5752688172043011,-0.004629629629629629,0.3573402031063321,0.21236559139784944,0.5023148148148148,3.7088607594467233,0.9907834101336831,1.7162162162104182,804,0.28531959378733573,200,35.56204606179889,36000.0,373819,635080,54,37.013074750467084,36000.0,373819,660993,25,18.917419044026705,35299.99923706055,198855,635080,93,19.689301452050675,35299.99923706055,198855,660993,99,34.31292238383129,39099.998474121094,336227,681284,111,35.18433897821051,39099.998474121094,336227,698586,106,33.41914355513046,38799.99923706055,327469,681284,116,34.267861596051524,38799.99923706055,327469,698586
