datetime,visibility,vis_HV,vis_DA,QBER_total,QBER_HV,QBER_DA,CHSH_S_value,T_Ljubljana,T_Drnovo,T_delta,dT_Ljubljana_dt_C_per_h,dT_Drnovo_dt_C_per_h,dT_delta_dt_C_per_h
2026-07-01 15:29:48.971275091,,,,,,,1.0420069720350524,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:29:48.971275091,-0.0816080504397632,-0.0479041916167664,-0.1153119092627599,0.5408040252198816,0.5239520958083832,0.55765595463138,,25.0,28.0,-3.0,,,
2026-07-01 15:30:45.680605888,-0.07741347351172,0.0103734439834024,-0.1652003910068426,0.53870673675586,0.4948132780082988,0.5826001955034213,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:30:45.680605888,,,,,,,0.9696963700434248,25.0,28.0,-3.0,,,
2026-07-01 15:31:42.624505997,,,,,,,1.0466169831431484,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:31:42.624505997,-0.1202414533346302,-0.0865603644646924,-0.153922542204568,0.5601207266673152,0.5432801822323462,0.576961271102284,,25.0,28.0,-3.0,,,
2026-07-01 15:32:40.080755949,-0.1174768518518518,-0.03125,-0.2037037037037037,0.5587384259259259,0.515625,0.6018518518518519,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:32:40.080755949,,,,,,,0.9097803658323323,25.0,28.0,-3.0,,,
2026-07-01 15:33:37.368801117,-0.1014141414141414,-0.0828282828282828,-0.12,0.5507070707070707,0.5414141414141415,0.56,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:33:37.368801117,,,,,,,0.94973511801098,25.0,28.0,-3.0,,,
2026-07-01 15:34:34.802156925,,,,,,,0.9808962892164323,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:34:34.802156925,-0.0793071911544073,-0.0387755102040816,-0.1198388721047331,0.5396535955772037,0.5193877551020408,0.5599194360523666,,25.0,28.0,-3.0,,,
2026-07-01 15:35:32.304119110,,,,,,,0.8330190845341214,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:35:32.304119110,-0.2026258987946098,-0.180226570545829,-0.2250252270433905,0.6013129493973048,0.5901132852729145,0.6125126135216953,,25.0,28.0,-3.0,,,
2026-07-01 15:36:29.734139919,,,,,,,0.8649279047973406,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:36:29.734139919,-0.2132228302744137,-0.1795918367346938,-0.2468538238141336,0.6066114151372068,0.5897959183673469,0.6234269119070668,,25.0,28.0,-3.0,,,
2026-07-01 15:37:27.143074989,-0.1894192852405006,-0.1366906474820144,-0.2421479229989868,0.5947096426202503,0.5683453237410072,0.6210739614994935,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:37:27.143074989,,,,,,,0.9577049494674096,25.0,28.0,-3.0,,,
2026-07-01 15:38:24.527715921,,,,,,,0.8552884362937634,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:38:24.527715921,-0.1957468808685669,-0.2231404958677686,-0.1683532658693652,0.5978734404342834,0.6115702479338843,0.5841766329346826,,25.0,28.0,-3.0,,,
2026-07-01 15:39:21.860460997,,,,,,,0.8150061180857298,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:39:21.860460997,-0.2216042600940692,-0.1752988047808765,-0.267909715407262,0.6108021300470347,0.5876494023904383,0.633954857703631,,25.0,28.0,-3.0,,,
2026-07-01 15:40:19.337181091,-0.1658136713493015,-0.1241970021413276,-0.2074303405572755,0.5829068356746507,0.5620985010706638,0.6037151702786377,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:40:19.337181091,,,,,,,0.9130826002192252,25.0,28.0,-3.0,,,
2026-07-01 15:41:16.421684027,,,,,,,0.824896977094607,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:41:16.421684027,-0.1581982595409705,-0.1365546218487394,-0.1798418972332015,0.5790991297704853,0.5682773109243697,0.5899209486166008,,25.0,28.0,-3.0,,,
2026-07-01 15:42:13.664700031,-0.1426129418112057,-0.1166150670794633,-0.168610816542948,0.5713064709056028,0.5583075335397317,0.584305408271474,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:42:13.664700031,,,,,,,0.9159873753162476,25.0,28.0,-3.0,,,
2026-07-01 15:43:10.916707039,-0.1277258566978193,-0.0965732087227414,-0.1588785046728972,0.5638629283489096,0.5482866043613707,0.5794392523364486,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:43:10.916707039,,,,,,,0.8009868717165073,25.0,28.0,-3.0,,,
2026-07-01 15:44:07.972129107,,,,,,,0.9343190395379228,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:44:07.972129107,-0.1428749953715703,-0.0995575221238938,-0.1861924686192468,0.5714374976857852,0.5497787610619469,0.5930962343096234,,25.0,28.0,-3.0,,,
2026-07-01 15:45:05.262135029,-0.216655420602789,-0.2286324786324786,-0.2046783625730994,0.6083277103013945,0.6143162393162394,0.6023391812865497,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:45:05.262135029,,,,,,,0.7970995381261652,25.0,28.0,-3.0,,,
2026-07-01 15:46:02.679838896,-0.1755150508998259,-0.1494252873563218,-0.2016048144433299,0.587757525449913,0.5747126436781609,0.600802407221665,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:46:02.679838896,,,,,,,0.8542558292927309,25.0,28.0,-3.0,,,
2026-07-01 15:47:00.362186909,,,,,,,0.7284150297895694,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:47:00.362186909,-0.2671684348904812,-0.261437908496732,-0.2728989612842304,0.6335842174452406,0.630718954248366,0.6364494806421152,,25.0,28.0,-3.0,,,
2026-07-01 15:47:57.669501066,-0.1944527586550933,-0.1282051282051282,-0.2607003891050584,0.5972263793275466,0.5641025641025641,0.6303501945525292,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:47:57.669501066,,,,,,,0.8795986286972242,25.0,28.0,-3.0,,,
2026-07-01 15:48:54.685148954,,,,,,,0.8441867685136062,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:48:54.685148954,-0.1918672378005517,-0.140997830802603,-0.2427366447985004,0.5959336189002759,0.5704989154013015,0.6213683223992502,,25.0,28.0,-3.0,,,
2026-07-01 15:49:51.824995041,-0.209997508010753,-0.1655011655011655,-0.2544938505203405,0.6049987540053765,0.5827505827505828,0.6272469252601703,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:49:51.824995041,,,,,,,0.8105892229047088,25.0,28.0,-3.0,,,
2026-07-01 15:50:49.291676998,-0.2257612213610424,-0.2012711864406779,-0.250251256281407,0.6128806106805212,0.600635593220339,0.6251256281407035,,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:50:49.291676998,,,,,,,0.6916270977958767,25.0,28.0,-3.0,,,
2026-07-01 15:51:49.782351017,,,,,,,0.7746948900824255,25.0,28.0,-3.0,0.0,0.0,0.0
2026-07-01 15:51:49.782351017,-0.1971850335484601,-0.1767109295199183,-0.217659137577002,0.5985925167742301,0.5883554647599591,0.608829568788501,,25.0,28.0,-3.0,,,
2026-07-01 15:52:46.761993885,-0.2022581343337421,-0.1836327345309381,-0.2208835341365461,0.6011290671668711,0.591816367265469,0.6104417670682731,,29.6,30.4,-0.7999999999999972,290.6301122027595,151.6331020188309,138.9970101839286
2026-07-01 15:52:46.761993885,,,,,,,0.6426738787506554,29.6,30.4,-0.7999999999999972,,,
2026-07-01 15:53:44.284292936,,,,,,,0.6943712908247862,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 15:53:44.284292936,-0.2325017325017325,-0.1829521829521829,-0.282051282051282,0.6162508662508663,0.5914760914760915,0.6410256410256411,,29.6,30.4,-0.7999999999999972,,,
2026-07-01 15:54:41.487919092,-0.3289254631766334,-0.3060344827586206,-0.3518164435946462,0.6644627315883167,0.6530172413793104,0.6759082217973231,,29.6,30.4,-0.7999999999999972,0.0,0.0,0.0
2026-07-01 15:54:41.487919092,,,,,,,0.5541259401706904,29.6,30.4,-0.7999999999999972,,,
